highway,name,wkt_geom,category,geometry
service,Skarpskyttestigen,"LINESTRING (18.037646900000002 59.31453320000001, 18.0377096 59.3144994, 18.0377471 59.314430900000005, 18.0378671 59.3142031, 18.0379389 59.314043600000005, 18.0379596 59.3139976, 18.0379672 59.3139784, 18.0380824 59.3136875)",Minor & Service,"LINESTRING (18.037646900000002 59.31453320000001, 18.0377096 59.3144994, 18.0377471 59.314430900000005, 18.0378671 59.3142031, 18.0379389 59.314043600000005, 18.0379596 59.3139976, 18.0379672 59.3139784, 18.0380824 59.3136875)"
residential,Östgötagatan,"LINESTRING (18.076561 59.314401700000005, 18.076551300000002 59.314422, 18.076527300000002 59.314477600000004, 18.0764913 59.314558100000006)",Local & Neighborhood,"LINESTRING (18.076561 59.314401700000005, 18.076551300000002 59.314422, 18.076527300000002 59.314477600000004, 18.0764913 59.314558100000006)"
residential,Södermannagatan,"LINESTRING (18.079419400000003 59.3155786, 18.0794818 59.315464000000006)",Local & Neighborhood,"LINESTRING (18.079419400000003 59.3155786, 18.0794818 59.315464000000006)"
residential,Högalidsgatan,"LINESTRING (18.0366217 59.3181486, 18.037448 59.3181816, 18.037971000000002 59.318201800000004)",Local & Neighborhood,"LINESTRING (18.0366217 59.3181486, 18.037448 59.3181816, 18.037971000000002 59.318201800000004)"
residential,Bellmansgatan,"LINESTRING (18.064793700000003 59.32014710000001, 18.0649702 59.319807000000004)",Local & Neighborhood,"LINESTRING (18.064793700000003 59.32014710000001, 18.0649702 59.319807000000004)"
secondary,Ringvägen,"LINESTRING (18.080094300000003 59.3082956, 18.079889400000003 59.3082452, 18.0798262 59.3082318, 18.0796411 59.308194300000004)",Arterial & Major,"LINESTRING (18.080094300000003 59.3082956, 18.079889400000003 59.3082452, 18.0798262 59.3082318, 18.0796411 59.308194300000004)"
residential,Assessorsgatan,"LINESTRING (18.068890800000002 59.309695700000006, 18.0689776 59.3095082, 18.0690965 59.3092764, 18.0690809 59.309135700000006, 18.0690516 59.30898560000001, 18.068972300000002 59.3088234, 18.068965600000002 59.3087906)",Local & Neighborhood,"LINESTRING (18.068890800000002 59.309695700000006, 18.0689776 59.3095082, 18.0690965 59.3092764, 18.0690809 59.309135700000006, 18.0690516 59.30898560000001, 18.068972300000002 59.3088234, 18.068965600000002 59.3087906)"
residential,Blekingegatan,"LINESTRING (18.068890800000002 59.309695700000006, 18.068617800000002 59.309678600000005)",Local & Neighborhood,"LINESTRING (18.068890800000002 59.309695700000006, 18.068617800000002 59.309678600000005)"
residential,Södermannagatan,"LINESTRING (18.0803058 59.313901200000004, 18.080332600000002 59.3138531, 18.080397100000003 59.3137374)",Local & Neighborhood,"LINESTRING (18.0803058 59.313901200000004, 18.080332600000002 59.3138531, 18.080397100000003 59.3137374)"
residential,Erstagatan,"LINESTRING (18.090164400000003 59.314583400000004, 18.0901581 59.3146713, 18.090149 59.314757500000006)",Local & Neighborhood,"LINESTRING (18.090164400000003 59.314583400000004, 18.0901581 59.3146713, 18.090149 59.314757500000006)"
residential,Ploggatan,"LINESTRING (18.0927729 59.3144562, 18.0927319 59.3143843)",Local & Neighborhood,"LINESTRING (18.0927729 59.3144562, 18.0927319 59.3143843)"
residential,Tjärhovsgatan,"LINESTRING (18.085875400000003 59.315841400000004, 18.0857902 59.316024000000006, 18.0857427 59.3160541, 18.085661 59.3160704, 18.085101400000003 59.316092100000006)",Local & Neighborhood,"LINESTRING (18.085875400000003 59.315841400000004, 18.0857902 59.316024000000006, 18.0857427 59.3160541, 18.085661 59.3160704, 18.085101400000003 59.316092100000006)"
service,,"LINESTRING (18.0453297 59.316377200000005, 18.045270300000002 59.3163375, 18.045254200000002 59.3162968, 18.045278200000002 59.3162419, 18.045352100000002 59.3162018, 18.045450600000002 59.3161861, 18.045776800000002 59.31617850000001, 18.045964700000003 59.316191700000005, 18.0463199 59.316229400000005, 18.0469116 59.316331600000005, 18.046975800000002 59.316344400000006, 18.0473134 59.316385100000005, 18.0476648 59.31638710000001, 18.0478647 59.3163829)",Minor & Service,"LINESTRING (18.0453297 59.316377200000005, 18.045270300000002 59.3163375, 18.045254200000002 59.3162968, 18.045278200000002 59.3162419, 18.045352100000002 59.3162018, 18.045450600000002 59.3161861, 18.045776800000002 59.31617850000001, 18.045964700000003 59.316191700000005, 18.0463199 59.316229400000005, 18.0469116 59.316331600000005, 18.046975800000002 59.316344400000006, 18.0473134 59.316385100000005, 18.0476648 59.31638710000001, 18.0478647 59.3163829)"
residential,Kattgränd,"LINESTRING (18.0573541 59.3199843, 18.0575814 59.31932990000001)",Local & Neighborhood,"LINESTRING (18.0573541 59.3199843, 18.0575814 59.31932990000001)"
residential,Brännkyrkagatan,"LINESTRING (18.0454066 59.317566400000004, 18.0456343 59.317590100000004)",Local & Neighborhood,"LINESTRING (18.0454066 59.317566400000004, 18.0456343 59.317590100000004)"
residential,Ringvägen,"LINESTRING (18.0502004 59.31798130000001, 18.0504083 59.3175413, 18.0504287 59.317499100000006, 18.050473800000002 59.3173978)",Local & Neighborhood,"LINESTRING (18.0502004 59.31798130000001, 18.0504083 59.3175413, 18.0504287 59.317499100000006, 18.050473800000002 59.3173978)"
residential,Ekermans Gränd,"LINESTRING (18.0516979 59.3120552, 18.051843 59.3120916, 18.052413700000002 59.312416400000004, 18.052719500000002 59.3125877)",Local & Neighborhood,"LINESTRING (18.0516979 59.3120552, 18.051843 59.3120916, 18.052413700000002 59.312416400000004, 18.052719500000002 59.3125877)"
residential,Tantogatan,"LINESTRING (18.0520029 59.3114611, 18.0513312 59.3113784, 18.051113700000002 59.311374)",Local & Neighborhood,"LINESTRING (18.0520029 59.3114611, 18.0513312 59.3113784, 18.051113700000002 59.311374)"
residential,Vickergatan,"LINESTRING (18.0564092 59.3072273, 18.0585811 59.306806, 18.059074600000002 59.306707100000004, 18.0594463 59.3066345, 18.0598224 59.30657360000001, 18.060225300000003 59.3065251, 18.0604313 59.306494, 18.060716300000003 59.3064516, 18.0610551 59.3064145, 18.061446 59.306369600000004, 18.0617001 59.306347800000005, 18.0619373 59.306340600000006, 18.062167000000002 59.306347900000006, 18.062450600000002 59.306359900000004, 18.0627652 59.3063858, 18.0630624 59.306410400000004, 18.0634276 59.306446400000006, 18.0636291 59.306459700000005, 18.0638495 59.3064581)",Local & Neighborhood,"LINESTRING (18.0564092 59.3072273, 18.0585811 59.306806, 18.059074600000002 59.306707100000004, 18.0594463 59.3066345, 18.0598224 59.30657360000001, 18.060225300000003 59.3065251, 18.0604313 59.306494, 18.060716300000003 59.3064516, 18.0610551 59.3064145, 18.061446 59.306369600000004, 18.0617001 59.306347800000005, 18.0619373 59.306340600000006, 18.062167000000002 59.306347900000006, 18.062450600000002 59.306359900000004, 18.0627652 59.3063858, 18.0630624 59.306410400000004, 18.0634276 59.306446400000006, 18.0636291 59.306459700000005, 18.0638495 59.3064581)"
residential,Glasbruksgatan,"LINESTRING (18.0787842 59.318066, 18.0791159 59.3179785, 18.079526700000002 59.317919700000004, 18.0798333 59.317875, 18.0799682 59.317855300000005)",Local & Neighborhood,"LINESTRING (18.0787842 59.318066, 18.0791159 59.3179785, 18.079526700000002 59.317919700000004, 18.0798333 59.317875, 18.0799682 59.317855300000005)"
residential,Tegelviksgatan,"LINESTRING (18.099176500000002 59.3125074, 18.0987514 59.3117102, 18.098687400000003 59.3116174, 18.0986516 59.311565400000006, 18.0982138 59.3107447)",Local & Neighborhood,"LINESTRING (18.099176500000002 59.3125074, 18.0987514 59.3117102, 18.098687400000003 59.3116174, 18.0986516 59.311565400000006, 18.0982138 59.3107447)"
